timestamp,suhu_inkubator,kelembapan,suhu_luar,label,confidence
2025-12-10 20:02:00,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:02:05,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:02:10,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:02:15,32.8,75,24.2,DINGIN,1.0
2025-12-10 20:02:20,35.6,69,24.2,DINGIN,0.996
2025-12-10 20:02:25,36.3,66,24.2,DINGIN,0.996
2025-12-10 20:02:45,39.0,58,24.2,NORMAL,0.945
2025-12-10 20:03:20,40.6,52,24.2,PANAS,1.0
2025-12-10 20:03:31,42.6,47,24.2,PANAS,1.0
2025-12-10 20:03:35,42.5,47,24.2,PANAS,1.0
2025-12-10 20:03:40,42.0,48,24.2,PANAS,1.0
2025-12-10 20:03:45,41.1,49,24.2,PANAS,1.0
2025-12-10 20:04:05,38.5,56,24.2,NORMAL,0.998
2025-12-10 20:04:10,38.0,57,24.2,NORMAL,1.0
2025-12-10 20:31:05,32.3,76,24.2,DINGIN,1.0
2025-12-10 20:31:10,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:15,32.3,76,24.2,DINGIN,1.0
2025-12-10 20:31:24,32.3,76,24.2,DINGIN,1.0
2025-12-10 20:31:25,32.3,76,24.2,DINGIN,1.0
2025-12-10 20:31:30,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:35,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:40,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:45,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:50,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:31:55,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:00,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:05,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:12,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:15,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:20,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:25,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:30,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:32:35,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:14,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:15,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:20,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:25,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:30,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:35,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:41,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:50,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:33:55,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:34:00,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:34:05,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:34:11,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:34:15,32.3,75,24.2,DINGIN,1.0
2025-12-10 20:34:20,32.3,75,24.2,DINGIN,1.0
